whitney_no,category,section_lo,section_hi,chapter,wikisource_url
548,past_active_participle,959,960,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#959
548,infinitive,968,979,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#968
548,adverbial_gerund,995,995,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#995
548,gerund,989,994,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#989
549,present_a,733,750,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#733
549,present_participle,583,584,VIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_VIII#583
549,passive_present,768,774,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#768
549,perfect,781,823,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#781
549,perfect_participle,802,806,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#802
549,aor_class,824,827,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#824
549,aor_s,878,897,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#878
549,future_participle,939,939,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#939
549,s_future,931,940,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#931
549,intensive,1000,1025,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1000
549,adverbial_gerund,995,995,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#995
549,gerund,989,994,XIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIII#989
550,present_redup,642,682,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#642
550,present_participle,583,584,VIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_VIII#583
550,perfect,781,823,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#781
550,perfect_participle,802,806,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#802
550,aor_class,824,827,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#824
550,aor_redup,856,873,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#856
550,intensive,1000,1025,XIV,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XIV#1000
551,present_a,733,750,IX,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_IX#733
551,present_participle,583,584,VIII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_VIII#583
551,perfect,781,823,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#781
551,perfect_participle,802,806,X,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_X#802
551,aor_class,824,827,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#824
551,aor_is,898,911,XI,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XI#898
551,future_participle,939,939,XII,https://en.wikisource.org/wiki/Sanskrit_Grammar_(Whitney)/Chapter_XII#939
