whitney_no,root_slp1,source,dict_L,dict_homonym,dict_class,basis
100,kuz,apte,11281,1,IX,unique-slp1
101,kU,apte,11320,1,VI|IX,unique-slp1
102,kUj,mw,53796,,I,unique-slp1
102,kUj,apte,11325,1,I,unique-slp1
103,kUq,mw,53917,2,X,unique-slp1
103,kUq,apte,11331,1,VI,unique-slp1
104,kUR,mw,53919,,I,unique-slp1
104,kUR,apte,11333,1,X,unique-slp1
105,kUrd,mw,54039,,I,unique-slp1
105,kUrd,apte,11354,1,I,unique-slp1
106,kf,mw,54148,1,I|II|V|VIII,class
106,kf,apte,11373,1,V|VIII,slp1-shared
107,kf,apte,11373,1,V|VIII,slp1-shared
108,kf,apte,11373,1,V|VIII,slp1-shared
109,kft,mw,54777,2,I|VI,class
109,kft,apte,11394,1,VI|VII,slp1-shared
110,kft,mw,54810,3,VII,class
110,kft,apte,11394,1,VI|VII,slp1-shared
111,kfp,mw,54858,2,VI|X,unique-slp1
111,kfp,apte,11408,1,I|X,unique-slp1
112,kfS,mw,55010,,IV,unique-slp1
112,kfS,apte,11428,1,IV,unique-slp1
113,kfz,mw,55083,1,I|VI,unique-slp1
113,kfz,apte,11435,1,I|VI,unique-slp1
114,kxp,apte,11454,1,I,unique-slp1
117,kraT,mw,57713,,I,unique-slp1
117,kraT,apte,11683,1,I|X,unique-slp1
118,krand,mw,57730,,I,unique-slp1
119,kram,mw,57749,,I|IV,unique-slp1
119,kram,apte,11692,1,I|IV,unique-slp1
120,krI,mw,58088,1,IX,unique-slp1
120,krI,apte,11717,1,IX,unique-slp1
121,krIq,mw,58135,,I,unique-slp1
121,krIq,apte,11729,1,I,unique-slp1
123,kruD,mw,58231,1,IV,unique-slp1
123,kruD,apte,11743,1,IV,unique-slp1
124,kruS,mw,58298,,I,unique-slp1
124,kruS,apte,11754,1,I,unique-slp1
126,klaT,mw,58538,,I,unique-slp1
126,klaT,apte,11768,1,I|IX,unique-slp1
127,kland,mw,58542,,I,unique-slp1
128,klam,mw,58545,,I|IV,unique-slp1
128,klam,apte,11770,1,I|IV,unique-slp1
129,klav,apte,11774,1,IV,unique-slp1
130,klid,mw,58564,,IV,unique-slp1
130,klid,apte,11775,1,IV,unique-slp1
131,kliS,apte,11784,1,IV|IX,unique-slp1
132,kvaR,mw,58692,,I,unique-slp1
132,kvaR,apte,11801,1,I,unique-slp1
133,kvaT,mw,58702,,I,unique-slp1
133,kvaT,apte,11803,1,I,unique-slp1
134,kzad,mw,58898,1,I,unique-slp1
134,kzad,apte,11828,1,I,unique-slp1
136,kzap,mw,58968,1,I,unique-slp1
136,kzap,apte,11831,1,I|X,unique-slp1
137,kzam,mw,59030,1,I|II|IV,unique-slp1
137,kzam,apte,11839,1,I|IV,unique-slp1
138,kzar,mw,59141,,I|II,unique-slp1
138,kzar,apte,11854,1,I,unique-slp1
139,kzal,mw,59234,2,X,unique-slp1
139,kzal,apte,11865,1,X,unique-slp1
141,kzi,apte,11878,1,I|V|VI|IX,slp1-shared
142,kzi,apte,11878,1,I|V|VI|IX,slp1-shared
143,kzip,mw,59502,1,IV|VI,unique-slp1
143,kzip,apte,11894,1,VI,unique-slp1
144,kzu,mw,59841,1,II,unique-slp1
144,kzu,apte,11928,1,II,unique-slp1
145,kzud,mw,59877,1,I|VII,unique-slp1
145,kzud,apte,11935,1,VII,unique-slp1
146,kzuD,mw,60072,1,IV,unique-slp1
146,kzuD,apte,11949,1,IV,unique-slp1
147,kzup,mw,60118,,VI,unique-slp1
148,kzuB,mw,60128,1,I|IV|V|IX,unique-slp1
148,kzuB,apte,11955,1,I|IV|IX,unique-slp1
149,kzRu,mw,60596,,II,unique-slp1
149,kzRu,apte,11997,1,II,unique-slp1
153,kzvel,mw,60659,,I,unique-slp1
153,kzvel,apte,12009,1,I,unique-slp1
154,Kac,mw,60863,,I|IX|X,unique-slp1
154,Kac,apte,12017,1,I|IX|X,unique-slp1
155,KaYj,mw,60884,1,I,unique-slp1
156,Kad,apte,12071,1,I,unique-slp1
157,Kan,mw,61265,,I,unique-slp1
157,Kan,apte,12074,1,I,unique-slp1
158,Karj,mw,61509,,I,unique-slp1
158,Karj,apte,12099,1,I,unique-slp1
159,Kall,mw,61663,,I,unique-slp1
161,KAd,mw,61789,,I,unique-slp1
161,KAd,apte,12151,1,I,unique-slp1
162,Kid,mw,61905,,IV|VI|VII,unique-slp1
162,Kid,apte,12171,1,IV|VI|VII,unique-slp1
163,Kud,mw,61977,,VI,unique-slp1
164,Kel,apte,12203,1,I,unique-slp1
165,KyA,apte,12218,1,II,unique-slp1
167,gad,mw,62868,,I|X,unique-slp1
167,gad,apte,12285,1,I|X,unique-slp1
168,gaD,apte,12296,1,IV,unique-slp1
170,gam,mw,63409,1,I|II|III,unique-slp1
170,gam,apte,12317,1,I,unique-slp1
171,garj,mw,63862,,I,unique-slp1
171,garj,apte,12358,1,I|X,unique-slp1
172,gard,mw,63914,,I|X,unique-slp1
172,gard,apte,12365,1,X,unique-slp1
173,garh,mw,64179,,I|X,unique-slp1
173,garh,apte,12385,1,I|X,unique-slp1
174,gal,mw,64198,1,I,unique-slp1
174,gal,apte,12390,1,I|X,unique-slp1
175,galB,apte,12402,1,I,unique-slp1
176,gA,mw,64493,1,II|III,slp1-shared
176,gA,apte,12437,1,II|III,slp1-shared
177,gA,mw,64493,1,II|III,slp1-shared
177,gA,apte,12437,1,II|III,slp1-shared
178,gAh,mw,65024,,I,unique-slp1
178,gAh,apte,12509,1,I,unique-slp1
180,gu,mw,65341,3,I,unique-slp1
180,gu,apte,12535,1,I|VI,unique-slp1
181,guYj,mw,65392,,I,unique-slp1
183,gup,apte,12594,1,I|IV|X,unique-slp1
184,guP,apte,12610,1,VI,unique-slp1
185,gur,apte,12614,1,IV|VI,unique-slp1
187,guh,mw,66258,1,I,unique-slp1
187,guh,apte,12634,1,I,unique-slp1
188,gUrd,apte,12652,1,I|X,unique-slp1
189,gUrD,mw,66407,,X,unique-slp1
189,gUrD,apte,12654,1,X,unique-slp1
190,gf,apte,12657,1,I,slp1-shared
191,gf,apte,12657,1,I,slp1-shared
192,gf,apte,12657,1,I,slp1-shared
193,gfD,mw,66434,,IV,unique-slp1
193,gfD,apte,12662,1,IV,unique-slp1
194,gE,mw,66852,,I|II|III,unique-slp1
194,gE,apte,12698,1,I,unique-slp1
195,graT,mw,68437,1,I|IX,unique-slp1
195,graT,apte,12771,1,I,unique-slp1
197,gras,mw,68546,1,I,unique-slp1
197,gras,apte,12784,1,I|X,unique-slp1
199,glah,mw,69145,,I,unique-slp1
199,glah,apte,12833,1,I|X,unique-slp1
201,Gaw,mw,69219,,I,unique-slp1
201,Gaw,apte,12849,1,I|X,unique-slp1
202,Gaww,mw,69346,,I|X,unique-slp1
202,Gaww,apte,12863,1,I|X,unique-slp1
203,Gar,apte,12882,1,X,unique-slp1
204,Gas,mw,69692,,I,unique-slp1
204,Gas,apte,12891,1,I|II,unique-slp1
205,Guw,apte,12912,1,VI,unique-slp1
206,Guz,mw,69841,1,I,unique-slp1
206,Guz,apte,12929,1,I|X,unique-slp1
207,GUrR,mw,69925,,I,unique-slp1
207,GUrR,apte,12942,1,I|VI,unique-slp1
208,Gf,mw,69935,1,I|III|X,unique-slp1
208,Gf,apte,12946,1,I|III|V|X,unique-slp1
209,Gfz,mw,70114,2,I,unique-slp1
209,Gfz,apte,12959,1,I,unique-slp1
210,GrA,mw,70246,,I|II|III,unique-slp1
210,GrA,apte,12978,1,I,unique-slp1
211,cak,apte,12987,1,I,unique-slp1
212,cakAs,apte,12989,1,II,unique-slp1
213,cakz,apte,13004,1,II,unique-slp1
214,caYc,mw,70764,,I,unique-slp1
215,caw,mw,70830,,I,unique-slp1
215,caw,apte,13027,1,I|X,unique-slp1
216,cat,apte,13052,1,I,unique-slp1
217,can,mw,71515,2,,unique-slp1
217,can,apte,13070,1,I|VI,unique-slp1
219,cam,apte,13102,1,I,unique-slp1
220,car,mw,72173,,I,unique-slp1
220,car,apte,13121,1,I,unique-slp1
221,carc,mw,72401,,I|X,unique-slp1
221,carc,apte,13140,1,VI|X,unique-slp1
222,carv,mw,72562,,I|X,unique-slp1
222,carv,apte,13167,1,I|X,unique-slp1
223,cal,mw,72587,,I,unique-slp1
223,cal,apte,13173,1,I|VI,unique-slp1
224,cAy,apte,13252,1,I,unique-slp1
225,ci,apte,13280,1,I|III|V,slp1-shared
226,ci,apte,13280,1,I|III|V,slp1-shared
227,cit,mw,73474,4,I|II|III,unique-slp1
227,cit,apte,13321,1,I|X,unique-slp1
229,cud,apte,13421,1,I|X,unique-slp1
230,cup,apte,13429,1,I,unique-slp1
231,cumb,mw,74627,2,I,unique-slp1
232,cur,apte,13439,1,X,unique-slp1
234,cUz,mw,74874,,I,unique-slp1
